tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location,cluster
2021-10-11,68,100.0,64,12,66,30,100,PM25,SEDANG,DKI2,0
2021-10-12,77,111.0,76,12,49,35,111,PM25,TIDAK SEHAT,DKI4,0
2021-10-13,57,91.0,63,9,58,31,91,PM25,SEDANG,DKI4,0
2021-10-14,73,131.0,65,12,70,35,131,PM25,TIDAK SEHAT,DKI4,0
2021-10-16,68,122.0,63,15,63,44,122,PM25,TIDAK SEHAT,DKI4,0
2021-10-17,71,126.0,63,15,65,30,126,PM25,TIDAK SEHAT,DKI4,0
2021-10-18,57,88.0,58,11,45,26,88,PM25,SEDANG,DKI4,1
2021-10-19,52,81.0,60,18,42,35,81,PM25,SEDANG,DKI5,1
2021-10-20,50,96.0,73,11,50,27,96,PM25,SEDANG,DKI4,1
2021-10-21,53,74.0,61,11,57,32,74,PM25,SEDANG,DKI3,1
2021-10-22,73,120.0,82,18,46,48,120,PM25,TIDAK SEHAT,DKI4,2
2021-10-23,67,109.0,81,13,53,36,109,PM25,TIDAK SEHAT,DKI4,0
2021-10-24,68,113.0,60,17,62,36,113,PM25,TIDAK SEHAT,DKI4,0
2021-10-25,65,104.0,62,14,70,37,104,PM25,TIDAK SEHAT,DKI4,0
2021-10-26,75,130.0,67,16,50,43,130,PM25,TIDAK SEHAT,DKI4,0
2021-10-27,62,90.0,64,15,50,39,90,PM25,SEDANG,DKI4,0
2021-10-28,54,78.0,67,16,56,39,78,PM25,SEDANG,DKI4,1
2021-10-29,54,79.0,80,19,49,35,80,SO2,SEDANG,DKI2,2
2021-10-30,64,103.0,81,15,58,40,103,PM25,TIDAK SEHAT,DKI4,0
2021-10-31,56,79.0,63,28,56,32,79,PM25,SEDANG,DKI4,2
2021-11-01,64,91.0,77,17,48,41,91,PM25,SEDANG,DKI5,0
2021-11-02,54,77.0,51,18,49,35,77,PM25,SEDANG,DKI4,1
2021-11-03,52,83.0,51,13,73,38,83,PM25,SEDANG,DKI4,1
2021-11-04,63,95.0,52,17,63,47,95,PM25,SEDANG,DKI2,0
2021-11-05,64,95.0,52,23,46,46,95,PM25,SEDANG,DKI4,0
2021-11-06,57,86.0,52,13,52,40,86,PM25,SEDANG,DKI4,1
2021-11-07,52,81.0,51,10,55,25,81,PM25,SEDANG,DKI4,1
2021-11-08,53,73.0,52,20,39,41,73,PM25,SEDANG,DKI2,1
2021-11-09,67,106.0,51,21,47,38,106,PM25,TIDAK SEHAT,DKI4,0
2021-11-10,61,100.0,51,11,36,25,100,PM25,SEDANG,DKI4,1
2021-11-11,47,71.0,51,12,36,32,71,PM25,SEDANG,DKI4,1
2021-11-12,44,63.0,47,10,38,19,63,PM25,SEDANG,DKI4,1
2021-11-13,52,82.0,47,16,52,40,82,PM25,SEDANG,DKI4,1
2021-11-14,50,68.0,47,13,46,34,68,PM25,SEDANG,DKI4,1
2021-11-15,36,58.0,47,9,36,17,58,PM25,SEDANG,DKI4,1
2021-11-16,53,82.0,47,11,41,14,82,PM25,SEDANG,DKI3,1
2021-11-17,60,99.0,50,13,45,35,99,PM25,SEDANG,DKI4,0
2021-11-18,63,106.0,43,18,56,35,106,PM25,TIDAK SEHAT,DKI4,0
2021-11-19,32,45.0,41,7,42,12,45,PM25,BAIK,DKI2,1
2021-11-20,37,58.0,43,8,41,17,58,PM25,SEDANG,DKI4,1
2021-11-21,52,76.0,41,19,45,44,76,PM25,SEDANG,DKI3,1
2021-11-24,35,59.0,42,8,37,12,59,PM25,SEDANG,DKI4,1
2021-11-25,63,83.0,42,12,40,21,83,PM25,SEDANG,DKI3,1
2021-11-26,58,78.0,41,17,39,31,78,PM25,SEDANG,DKI4,1
2021-11-27,37,56.0,41,10,45,22,56,PM25,SEDANG,DKI4,1
2021-11-30,46,66.0,43,10,44,17,66,PM25,SEDANG,DKI4,1
2021-12-01,63,100.0,43,13,41,30,100,PM25,SEDANG,DKI4,0
2021-12-02,35,56.0,42,7,40,14,56,PM25,SEDANG,DKI4,1
2021-12-03,54,71.0,43,9,48,17,71,PM25,SEDANG,DKI4,1
2021-12-04,50,65.0,45,13,43,16,65,PM25,SEDANG,DKI3,1
2021-12-05,53,80.0,44,17,39,29,80,PM25,SEDANG,DKI4,1
2021-12-06,62,91.0,55,23,45,57,91,PM25,SEDANG,DKI3,2
2021-12-08,49,76.0,45,17,51,30,76,PM25,SEDANG,DKI4,1
2021-12-09,46,63.0,46,11,51,20,63,PM25,SEDANG,DKI4,1
2021-12-10,51,73.0,47,14,41,30,73,PM25,SEDANG,DKI4,1
2021-12-11,38,60.0,45,8,51,22,60,PM25,SEDANG,DKI4,1
